Tn,n,Group
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,successful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
2.8464818763326227,2,successful
0.022935779816513763,2,successful
3.3636363636363638,2,successful
143.0,2,successful
8.0,2,successful
152.0,2,successful
0.5902777777777778,2,successful
7.487804878048781,2,successful
0.0010277492291880781,2,successful
1.0,2,successful
0.5638095238095238,2,successful
1.0,2,successful
0.017241379310344827,2,successful
0.034482758620689655,2,successful
2.3369565217391304,2,successful
5.716981132075472,2,successful
1.0,2,successful
20.0,2,successful
0.008403361344537815,2,successful
0.0004180602006688963,2,successful
13.0,2,successful
1.0,2,successful
0.00065359477124183,2,successful
2.8421052631578947,2,successful
1.1147540983606556,2,successful
1.0,2,successful
0.039603960396039604,2,successful
0.03977272727272727,2,successful
1.0,2,successful
2.619047619047619,2,successful
1.4891304347826086,2,successful
44.0,2,successful
42.0,2,successful
8.289017341040463,2,successful
100.0,2,successful
1.0,2,successful
6.166666666666667,2,successful
0.83125,2,successful
0.589622641509434,2,successful
1.0,2,successful
1236.0,2,successful
164.0,2,successful
174.0,2,successful
13.583333333333334,2,successful
1853.0,2,successful
0.3469387755102041,2,successful
4.76056338028169,2,successful
1.0,2,successful
1.5888888888888888,2,successful
0.47913446676970634,2,successful
0.391304347826087,2,successful
19.0,2,successful
1.0,2,successful
5.167848699763593,2,successful
1.0,2,successful
1097.0,2,successful
1.0,2,successful
0.3333333333333333,2,successful
0.5459770114942529,2,successful
2195.0,2,successful
1.0,2,successful
1.0,2,successful
0.10711793440334962,2,successful
165.0,2,successful
0.14414414414414414,2,successful
0.034482758620689655,2,successful
1.0,2,successful
0.005291005291005291,2,successful
0.00019238168526356292,2,successful
0.14285714285714285,2,successful
0.5064599483204134,2,successful
1.547945205479452,2,successful
0.13333333333333333,2,successful
20.319148936170212,2,successful
1.0,2,successful
0.09090909090909091,2,successful
0.004878048780487805,2,successful
10.901639344262295,2,successful
3200.0,2,successful
2.5970149253731343,2,successful
60.0,2,successful
9.4,2,successful
0.4406779661016949,2,successful
0.20087336244541484,2,successful
0.041666666666666664,2,successful
0.008771929824561403,2,successful
44.0,2,successful
0.3333333333333333,2,successful
1.0,2,successful
1.5,2,successful
4.64,2,successful
3.125,2,successful
0.003968253968253968,2,successful
0.08888888888888889,2,successful
2.0,2,successful
0.008403361344537815,2,successful
0.09268292682926829,2,successful
1.2216905901116428,2,successful
0.04117315284827975,2,successful
288.0,2,successful
0.005804643714971977,2,successful
0.10326086956521739,2,successful
0.018367346938775512,2,successful
2.968421052631579,2,successful
5.0161030595813205,2,successful
0.19175257731958764,2,successful
1.0,2,successful
1.7777777777777777,2,successful
3.0,2,successful
1.0,2,successful
1.0576923076923077,2,successful
0.0005260389268805891,2,successful
0.01060070671378092,2,successful
0.0005037783375314861,2,successful
0.2,2,successful
0.15,2,successful
0.06666666666666667,2,successful
1.1736842105263159,2,successful
0.4295774647887324,2,successful
2.5162454873646207,2,successful
6.333333333333333,2,successful
0.48936170212765956,2,successful
1.0,2,successful
5.918918918918919,2,successful
0.058823529411764705,2,successful
772.0,2,successful
0.001455604075691412,2,successful
0.06,2,successful
5.75,2,successful
1.0,2,successful
1911.5,2,successful
0.43478260869565216,2,successful
1.0,2,successful
0.010144238389602156,2,successful
1.7345132743362832,2,successful
